INFRACCION
A01
A02
A03
A04
A05
A07
A08
A09
A11
A12
B01
B02
B03
B04
B05
B06
B07
B10
B11
B12
B14
B15
B19
B20
B22
B23
C01
C03
C05
C06
C07
C08
C10
C11
C13
C14
C15
C16
C18
C19
C20
C21
C22
C23
C24
C25
C26
C27
C28
C29
C30
C31
C32
C33
C34
C35
C36
C37
C38
C39
C40
D01
D02
D03
D04
D05
D06
D07
D08
D09
D10
D11
D12
D14
D15
D16
E02
F
F02
F03
F04
F05
F06
F08
F09
F12
H01
H02
H03
H04
H05
H07
H08
H09
H13
I01
I02
